"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"40.0","112.0","5.50714285714","4.38416666667","5.33678571429","medium"
"112.0","129.0","4.97785714286","4.00214285714","5.36214285714","louder"
"130.0","148.0","5.88136363636","4.73272727273","5.65409090909","louder"
"148.0","163.0","5.28727272727","4.05454545455","5.45363636364","medium"
"164.0","186.0","5.71485714286","3.73057142857","5.70028571429","loudest"
"186.0","660.0","5.17449877751","4.30207823961","5.23841075795","loudest"
"661.0","684.0","5.65090909091","3.77272727273","5.41696969697","silent"
"685.0","751.0","5.44576470588","4.122","5.404","medium"
"752.0","915.0","5.11447513812","4.06160220994","5.27790055249","medium"
"915.0","991.0","5.2725","4.08925","5.334","medium"
"992.0","1017.0","4.615","3.6775","5.0725","silent"
"1018.0","1024.0","5.37846153846","4.16769230769","5.39846153846","silent"
"1025.0","1034.0","5.375","3.95","5.2475","silent"
"1035.0","1044.0","4.90642857143","3.73642857143","5.235","silent"
"1045.0","1058.0","5.32777777778","4.57333333333","5.60555555556","silent"
"1059.0","1169.0","5.03686131387","4.11598540146","5.30496350365","silent"
"1170.0","1368.0","5.30593406593","4.12615384615","5.30076923077","silent"
"1369.0","1402.0","5.42763157895","3.86","5.42368421053","silent"
"1403.0","1424.0","5.45754716981","3.78301886792","5.51509433962","silent"
"1424.0","1530.0","5.6053125","3.7384375","5.299375","silent"
"1530.0","1622.0","4.92762711864","4.03728813559","5.25627118644","silent"
"1623.0","1647.0","5.34047169811","4.16575471698","5.28245283019","silent"
"1648.0","1864.0","5.34120253165","4.21126582278","5.38721518987","silent"
"1865.0","1984.0","5.52875","4.0565625","5.450625","silent"
"1985.0","1999.0","5.832","3.764","6.024","silent"
"2000.0","2014.0","5.23666666667","3.405","5.55","silent"
"2015.0","2044.0","6.042","3.886","5.346","medium"
"2045.0","2066.0","5.73571428571","3.85952380952","5.53047619048","silent"
"2067.0","2101.0","5.58125","3.835625","5.395","silent"
"2102.0","2279.0","5.33048888889","4.15333333333","5.38284444444","medium"
"2280.0","2358.0","5.185625","4.21260416667","5.22802083333","louder"
"2360.0","2365.0","6.27285714286","4.38428571429","5.45857142857","silent"
"2425.0","2429.0","5.48214285714","4.09071428571","5.66714285714","silent"
"2430.0","2496.0","5.4205","4.025","5.4645","silent"
"2436.0","2440.0","4.65666666667","4.0225","5.02083333333","silent"
"2497.0","2506.0","5.24923076923","4.17461538462","5.39769230769","silent"
"2507.0","2539.0","5.43516666667","4.16916666667","5.32716666667","silent"
"2540.0","2557.0","5.31681818182","3.85590909091","5.21863636364","medium"
"2558.0","2629.0","5.06529411765","4.1631372549","5.10333333333","medium"
"2630.0","2644.0","5.36833333333","4.18166666667","4.88","silent"
"2645.0","2864.0","5.3485106383","4.03212765957","5.24170212766","silent"
"2681.0","2850.0","5.7076344086","4.1888172043","5.38870967742","silent"
"2865.0","2882.0","5.66069767442","3.8611627907","5.49209302326","louder"
"2883.0","2909.0","5.63714285714","4.06428571429","5.75285714286","silent"
"2910.0","3429.0","5.38474820144","4.01442446043","5.37838129496","medium"
"3285.0","3319.0","5.31189655172","3.93913793103","5.29034482759","silent"
"3320.0","3324.0","3.17","6.35","3.62","silent"
"3325.0","3329.0","4.135","5.045","4.755","silent"
"3330.0","3429.0","5.00948275862","4.11189655172","5.17172413793","silent"
"3429.0","3689.0","5.00122807018","4.15035087719","5.16368421053","silent"
"3490.0","3610.0","5.45766990291","4.20873786408","5.59145631068","medium"
"3610.0","3690.0","5.54542857143","3.99071428571","5.49028571429","silent"
"3690.0","3751.0","5.71103448276","4.0524137931","5.5524137931","silent"
"3785.0","3935.0","5.60743902439","4.11774390244","5.48079268293","silent"
"3936.0","4085.0","5.40824427481","4.12870229008","5.33435114504","medium"
"4137.0","4140.0","5.46318181818","4.11636363636","5.22318181818","silent"
"4141.0","4360.0","5.59294372294","4.07212121212","5.3767965368","silent"
"4365.0","4430.0","5.41619565217","3.98945652174","5.4697826087","silent"
"4495.0","4820.0","5.33142011834","4.10224852071","5.45958579882","medium"
"4824.0","4957.0","5.50688741722","4.23993377483","5.43947019868","medium"
"5100.0","5236.0","5.43527777778","4.14631944444","5.43097222222","silent"
"5238.0","5274.0","5.47868421053","4.21592105263","5.42697368421","silent"
"5280.0","5298.0","5.35473684211","3.89526315789","5.24947368421","silent"
"5310.0","5580.0","5.33887417219","4.10158940397","5.31152317881","medium"
"5585.0","5598.0","5.55578947368","4.06684210526","5.33684210526","louder"
"5600.0","5673.0","5.32472","4.06536","5.37392","loudest"
"5675.0","5810.0","5.2074015748","4.18330708661","5.34708661417","loudest"
"5983.0","6010.0","4.53961538462","4.29384615385","4.955","louder"
"6033.0","6093.0","5.33694444444","3.98194444444","5.4975","louder"
"6148.0","6210.0","5.44052631579","4.30473684211","5.18605263158","louder"
